bamhead	mean_depth	sd_depth	mean_depth_nonzero	mean_depth_within2sd	median	proportion_of_reference_covered
CL_1.F.bam.depth.gz	8.67365518170196	13.0956950854355	13.1743659663495	7.88549511654512	7	0.658373632845375
CL_2.F.bam.depth.gz	14.0393975356474	19.5585535396431	20.7669254565947	12.7224292338012	11	0.676046031223642
CL_3.F.bam.depth.gz	13.2698425119334	23.3995090494259	19.5267926402985	12.2061891049603	9	0.679571026146979
CL_4.F.bam.depth.gz	7.9725834461664	10.9839241828296	12.23956960202	7.14737149355733	6	0.651377761261041
CL_5.F.bam.depth.gz	7.13671272130725	11.758319443846	10.9128030962051	6.49312302837113	5	0.653976128625357
CL_6.F.bam.depth.gz	9.45234118024528	13.7064561823902	14.2509475855226	8.59067909632862	7	0.663278081932301
CLP_10.F.bam.depth.gz	15.9176685513741	27.1745619377622	23.8289817582029	14.0854829534102	9	0.667996170079622
CLP_11.F.bam.depth.gz	16.2071680394249	21.9033185402495	23.5946389419964	14.7692762997727	14	0.686900447142413
CLP_12.F.bam.depth.gz	16.326033119486	24.0639071975254	23.7854542349926	14.9147093353948	14	0.686387275104644
CLP_13.F.bam.depth.gz	16.596758671698	26.9272701874676	24.3739468249688	15.3238373551674	13	0.680922084177774
CLP_14.F.bam.depth.gz	12.1509100209946	21.0790004263448	18.1516298599195	11.1304678089936	9	0.669411513718802
CLP_15.F.bam.depth.gz	14.4220507432363	20.7942619249197	21.155164620526	13.1776791435389	12	0.681727181136986
CLP_1.F.bam.depth.gz	8.56039990342211	12.6123723999154	12.5914989713135	7.93531508823507	7	0.679855505919019
CLP_2.F.bam.depth.gz	10.1329216944609	13.4195248445409	14.7403243189561	9.2393664600206	9	0.68742868034648
CLP_3.F.bam.depth.gz	13.869871809425	22.5353811931232	19.8152625818557	12.8269837342356	11	0.699959021593924
CLP_4.F.bam.depth.gz	9.91422826583738	16.7618764958094	14.4906319750978	9.30503439149249	8	0.684181910276609
CLP_5.F.bam.depth.gz	12.0358492078203	16.6581774300363	17.3982343888117	11.1263891117583	10	0.691785668524938
CLP_6.F.bam.depth.gz	13.7855758534165	21.3777920311564	19.7052444039731	12.8721885295519	12	0.699589184016416
CLP_7.F.bam.depth.gz	16.4915825970434	26.1531509173953	24.2817835074392	15.0879417489772	12	0.679175094036414
CLP_8.F.bam.depth.gz	17.0777342791716	29.4807451814453	25.267660214953	15.8444897829904	13	0.675873196563709
